packet_size,apu_timestamp,rpu_timestamp,delta_ticks,delta_us
512,1405517245,1405517430,185,1.850
512,1405538821,1405539004,183,1.830
512,1405560395,1405560623,228,2.280
512,1405581959,1405582143,184,1.840
512,1405603506,1405603715,209,2.090
512,1405625075,1405625286,211,2.110
512,1405646658,1405646863,205,2.050
512,1405668232,1405668461,229,2.290
512,1405689784,1405689982,198,1.980
512,1405711468,1405711654,186,1.860
512,1405733047,1405733275,228,2.280
512,1405754611,1405754796,185,1.850
512,1405776186,1405776369,183,1.830
512,1405797735,1405797938,203,2.030
512,1405819311,1405819517,206,2.060
512,1405840871,1405841063,192,1.920
512,1405862455,1405862637,182,1.820
512,1405884025,1405884208,183,1.830
512,1405905596,1405905779,183,1.830
512,1405927163,1405927347,184,1.840
512,1405948740,1405948969,229,2.290
512,1405970313,1405970540,227,2.270
512,1405991870,1405992111,241,2.410
512,1406013438,1406013665,227,2.270
512,1406035000,1406035185,185,1.850
512,1406056554,1406056757,203,2.030
512,1406078142,1406078328,186,1.860
512,1406099701,1406099899,198,1.980
512,1406121397,1406121621,224,2.240
512,1406142985,1406143193,208,2.080
512,1406164549,1406164763,214,2.140
512,1406186138,1406186385,247,2.470
512,1406207727,1406207942,215,2.150
512,1406229300,1406229510,210,2.100
512,1406250883,1406251081,198,1.980
512,1406272447,1406272653,206,2.060
512,1406294025,1406294223,198,1.980
512,1406315605,1406315795,190,1.900
512,1406337180,1406337366,186,1.860
512,1406358732,1406358943,211,2.110
512,1406380313,1406380541,228,2.280
512,1406401885,1406402112,227,2.270
512,1406423441,1406423633,192,1.920
512,1406445012,1406445204,192,1.920
512,1406466574,1406466775,201,2.010
512,1406488157,1406488346,189,1.890
512,1406509831,1406510018,187,1.870
512,1406531444,1406531640,196,1.960
512,1406553004,1406553217,213,2.130
512,1406574564,1406574765,201,2.010
512,1406596138,1406596336,198,1.980
512,1406617705,1406617907,202,2.020
512,1406639286,1406639478,192,1.920
512,1406660854,1406661049,195,1.950
512,1406682419,1406682620,201,2.010
512,1406704001,1406704247,246,2.460
512,1406725579,1406725819,240,2.400
512,1406747145,1406747367,222,2.220
512,1406768714,1406768937,223,2.230
512,1406790281,1406790509,228,2.280
512,1406811895,1406812080,185,1.850
512,1406833454,1406833651,197,1.970
512,1406855017,1406855222,205,2.050
512,1406876597,1406876849,252,2.520
512,1406898163,1406898347,184,1.840
512,1406919748,1406919969,221,2.210
512,1406941331,1406941540,209,2.090
512,1406962903,1406963111,208,2.080
512,1406984491,1406984682,191,1.910
512,1407006064,1407006253,189,1.890
512,1407027637,1407027824,187,1.870
512,1407049203,1407049451,248,2.480
512,1407070758,1407070949,191,1.910
512,1407092326,1407092523,197,1.970
512,1407113884,1407114091,207,2.070
512,1407135467,1407135663,196,1.960
1024,1407160908,1407161192,284,2.840
1024,1407182595,1407182866,271,2.710
1024,1407204199,1407204435,236,2.360
1024,1407225795,1407226058,263,2.630
1024,1407247367,1407247628,261,2.610
1024,1407268934,1407269205,271,2.710
1024,1407290505,1407290753,248,2.480
1024,1407312240,1407312478,238,2.380
1024,1407333832,1407334101,269,2.690
1024,1407355408,1407355670,262,2.620
1024,1407376993,1407377239,246,2.460
1024,1407398584,1407398861,277,2.770
1024,1407420181,1407420434,253,2.530
1024,1407441763,1407442003,240,2.400
1024,1407463352,1407463625,273,2.730
1024,1407484913,1407485196,283,2.830
1024,1407506489,1407506750,261,2.610
1024,1407528063,1407528322,259,2.590
1024,1407549655,1407549892,237,2.370
1024,1407571225,1407571463,238,2.380
1024,1407592804,1407593035,231,2.310
1024,1407614372,1407614605,233,2.330
1024,1407635951,1407636226,275,2.750
1024,1407657541,1407657800,259,2.590
1024,1407679118,1407679352,234,2.340
1024,1407700701,1407700973,272,2.720
1024,1407722402,1407722645,243,2.430
1024,1407744003,1407744267,264,2.640
1024,1407765589,1407765842,253,2.530
1024,1407787141,1407787409,268,2.680
1024,1407808712,1407808980,268,2.680
1024,1407830292,1407830553,261,2.610
1024,1407851881,1407852122,241,2.410
1024,1407873468,1407873744,276,2.760
1024,1407895039,1407895299,260,2.600
1024,1407916631,1407916869,238,2.380
1024,1407938214,1407938490,276,2.760
1024,1407959826,1407960061,235,2.350
1024,1407981419,1407981685,266,2.660
1024,1408002993,1408003255,262,2.620
1024,1408024565,1408024826,261,2.610
1024,1408046151,1408046396,245,2.450
1024,1408067736,1408068018,282,2.820
1024,1408089321,1408089573,252,2.520
1024,1408111001,1408111244,243,2.430
1024,1408132601,1408132869,268,2.680
1024,1408154189,1408154436,247,2.470
1024,1408175787,1408176057,270,2.700
1024,1408197377,1408197631,254,2.540
1024,1408218973,1408219250,277,2.770
1024,1408240558,1408240824,266,2.660
1024,1408262133,1408262394,261,2.610
1024,1408283733,1408284020,287,2.870
1024,1408305347,1408305635,288,2.880
1024,1408326929,1408327190,261,2.610
1024,1408348500,1408348761,261,2.610
1024,1408370077,1408370334,257,2.570
1024,1408391664,1408391903,239,2.390
1024,1408413239,1408413474,235,2.350
1024,1408434835,1408435096,261,2.610
1024,1408456416,1408456669,253,2.530
1024,1408477989,1408478244,255,2.550
1024,1408499581,1408499865,284,2.840
1024,1408521273,1408521538,265,2.650
1024,1408542863,1408543135,272,2.720
1024,1408564447,1408564707,260,2.600
